name,year,value
Donkey,1961,245200
Donkey,1962,277300
Donkey,1963,272900
Donkey,1964,290100
Donkey,1965,326100
Donkey,1966,344500
Donkey,1967,351900
Donkey,1968,361700
Donkey,1969,359600
Donkey,1970,369100
Donkey,1971,403000
Donkey,1972,406000
Donkey,1973,380700
Donkey,1974,380700
Donkey,1975,376886
Donkey,1976,381826
Donkey,1977,369168
Donkey,1978,373655
Donkey,1979,367010
Donkey,1980,364733
Donkey,1981,381709
Donkey,1982,404238
Donkey,1983,414280
Donkey,1984,401132
Donkey,1985,397910
Donkey,1986,423000
Donkey,1987,428678
Donkey,1988,458990
Donkey,1989,474432
Donkey,1990,472242
Donkey,1991,492947
Donkey,1992,2157864
Donkey,1993,2137063
Donkey,1994,2123371
Donkey,1995,2130103
Donkey,1996,2281887
Donkey,1997,2031672
Donkey,1998,2031924
Donkey,1999,2106923
Donkey,2000,2170178
Donkey,2001,2193207
Donkey,2002,2281668
Donkey,2003,2337336
Donkey,2004,2408262
Donkey,2005,2420426
Donkey,2006,2493460
Donkey,2007,2429033
Donkey,2008,2427923
Donkey,2009,2568750
Donkey,2010,2587981
Donkey,2011,2687288
Donkey,2012,2673732
Donkey,2013,2651005
Donkey,2014,2529606
Donkey,2015,2565073
Donkey,2016,2506475
Donkey,2017,2192567
Pigeons,1961,23890000
Pigeons,1962,24190000
Pigeons,1963,23995000
Pigeons,1964,24325000
Pigeons,1965,24130000
Pigeons,1966,23655000
Pigeons,1967,21155000
Pigeons,1968,21010000
Pigeons,1969,20690000
Pigeons,1970,20270000
Pigeons,1971,22795000
Pigeons,1972,19950000
Pigeons,1973,17710000
Pigeons,1974,15830000
Pigeons,1975,15420000
Pigeons,1976,15090000
Pigeons,1977,17180000
Pigeons,1978,14400000
Pigeons,1979,13675000
Pigeons,1980,14760000
Pigeons,1981,20140000
Pigeons,1982,27670000
Pigeons,1983,36990000
Pigeons,1984,42160000
Pigeons,1985,42610000
Pigeons,1986,43460000
Pigeons,1987,43810000
Pigeons,1988,44727000
Pigeons,1989,45793000
Pigeons,1990,48778000
Pigeons,1991,51121000
Pigeons,1992,54122000
Pigeons,1993,58855000
Pigeons,1994,57335000
Pigeons,1995,58788000
Pigeons,1996,61025000
Pigeons,1997,62360000
Pigeons,1998,61494000
Pigeons,1999,63033000
Pigeons,2000,64043000
Pigeons,2001,63163000
Pigeons,2002,62174000
Pigeons,2003,62718000
Pigeons,2004,64085000
Pigeons,2005,61726000
Pigeons,2006,61857000
Pigeons,2007,62784000
Pigeons,2008,62281000
Pigeons,2009,60605000
Pigeons,2010,60112000
Pigeons,2011,59987000
Pigeons,2012,61532000
Pigeons,2013,64189000
Pigeons,2014,62506000
Pigeons,2015,60786000
Pigeons,2016,55509000
Pigeons,2017,54220000
Buffalo,1961,6577869000
Buffalo,1962,6853536000
Buffalo,1963,7219918000
Buffalo,1964,7495146000
Buffalo,1965,8120139000
Buffalo,1966,8277472000
Buffalo,1967,9159074000
Buffalo,1968,9474670000
Buffalo,1969,10158324000
Buffalo,1970,11034188000
Buffalo,1971,11390271000
Buffalo,1972,12169120000
Buffalo,1973,12704649000
Buffalo,1974,13190174000
Buffalo,1975,13382800000
Buffalo,1976,14286949000
Buffalo,1977,15193656000
Buffalo,1978,16215309000
Buffalo,1979,17452391000
Buffalo,1980,18392525000
Buffalo,1981,19353538000
Buffalo,1982,20022384000
Buffalo,1983,20481154000
Buffalo,1984,20861570000
Buffalo,1985,21774959000
Buffalo,1986,22869302000
Buffalo,1987,24545918000
Buffalo,1988,25491080000
Buffalo,1989,25863051000
Buffalo,1990,27184885000
Buffalo,1991,28202998000
Buffalo,1992,29335752000
Buffalo,1993,30831975000
Buffalo,1994,32078838000
Buffalo,1995,34087381000
Buffalo,1996,34994325000
