name,year,value
Chicken,1961,6577869000
Sheep and Goat,1961,433822495
Pig,1961,376366821
Sheep and Goat,1961,330902794
Rabbit,1961,271336000
Duck,1961,226713000
Beef and Buffalo,1961,180700430
Turkey,1961,141620000
Sheep and Goat,1961,102919701
Other Rodents,1961,79118000
Goose,1961,44488000
Pigeon,1961,23890000
Beef and Buffalo,1961,7744138
Horse,1961,3070964
Other Camelids,1961,753678
Camel,1961,648845
Donkey,1961,245200
Mule,1961,70000
Game,1961,
Frog and Marine Mammals,1961,
Chicken,1962,6853536000
Sheep and Goat,1962,446155169
Pig,1962,400614529
Sheep and Goat,1962,341528424
Rabbit,1962,270866000
Duck,1962,235197000
Beef and Buffalo,1962,192295024
Turkey,1962,128645000
Sheep and Goat,1962,104626745
Other Rodents,1962,79763000
Goose,1962,46795000
Pigeon,1962,24190000
Beef and Buffalo,1962,7989005
Horse,1962,3011027
Other Camelids,1962,841360
Camel,1962,667424
Donkey,1962,277300
Mule,1962,83800
Game,1962,
Frog and Marine Mammals,1962,
Chicken,1963,7219918000
Sheep and Goat,1963,449587478
Pig,1963,438317204
Sheep and Goat,1963,344346633
Rabbit,1963,274420000
Duck,1963,250608000
Beef and Buffalo,1963,202010951
Turkey,1963,133740000
Sheep and Goat,1963,105240845
Other Rodents,1963,80417000
Goose,1963,46957000
Pigeon,1963,23995000
Beef and Buffalo,1963,8126567
Horse,1963,3004979
Camel,1963,689554
Other Camelids,1963,688359
Donkey,1963,272900
Mule,1963,88500
Game,1963,
Frog and Marine Mammals,1963,
Chicken,1964,7495146000
Pig,1964,453715727
Sheep and Goat,1964,452576461
Sheep and Goat,1964,345889336
Rabbit,1964,276557000
Duck,1964,258949000
Beef and Buffalo,1964,200192259
Turkey,1964,141732000
Sheep and Goat,1964,106687125
Other Rodents,1964,80615000
Goose,1964,49962000
Pigeon,1964,24325000
Beef and Buffalo,1964,8408709
Horse,1964,3171073
Other Camelids,1964,789810
Camel,1964,708068
Donkey,1964,290100
Mule,1964,95200
Game,1964,
Frog and Marine Mammals,1964,
Chicken,1965,8120139000
Pig,1965,491740573
Sheep and Goat,1965,450974385
Sheep and Goat,1965,341996356
Rabbit,1965,280891000
Duck,1965,272838000
Beef and Buffalo,1965,200184152
Turkey,1965,151287000
Sheep and Goat,1965,108978029
Other Rodents,1965,80998000
Goose,1965,54319000
Pigeon,1965,24130000
Beef and Buffalo,1965,8566276
Horse,1965,3042180
Camel,1965,748660
Other Camelids,1965,482830
Donkey,1965,326100
Mule,1965,95700
Game,1965,
Frog and Marine Mammals,1965,
Chicken,1966,8277472000
Pig,1966,507144931
Sheep and Goat,1966,464640347
Sheep and Goat,1966,353156025
Rabbit,1966,289911000
Duck,1966,283829000
Beef and Buffalo,1966,205419077
Turkey,1966,168748000
Sheep and Goat,1966,111484322
Other Rodents,1966,80184000
Goose,1966,56055000
Pigeon,1966,23655000
Beef and Buffalo,1966,8683014
Horse,1966,2970305
Camel,1966,798943
Other Camelids,1966,480280
Donkey,1966,344500
Mule,1966,80400
Game,1966,
Frog and Marine Mammals,1966,
Chicken,1967,9159074000
Pig,1967,525627737
Sheep and Goat,1967,467187839
Sheep and Goat,1967,354383563
Rabbit,1967,298260000
Duck,1967,293365000
Beef and Buffalo,1967,213560186
Turkey,1967,182955000
Sheep and Goat,1967,112804276
Other Rodents,1967,79740000
Goose,1967,60017000
Pigeon,1967,21155000
Beef and Buffalo,1967,8897804
Horse,1967,2929556
Camel,1967,801909
Other Camelids,1967,468180
Donkey,1967,351900
Mule,1967,85100
Game,1967,
Frog and Marine Mammals,1967,
Chicken,1968,9474670000
Pig,1968,528933603
Sheep and Goat,1968,476668478
Sheep and Goat,1968,361962955
Rabbit,1968,311902000
Duck,1968,304553000
Beef and Buffalo,1968,220304388
Turkey,1968,169116000
Sheep and Goat,1968,114705523
Other Rodents,1968,79544000
Goose,1968,64517000
Pigeon,1968,21010000
Beef and Buffalo,1968,9239157
Horse,1968,3049182
Camel,1968,849681
Other Camelids,1968,484330
Donkey,1968,361700
Mule,1968,83700
Game,1968,
Frog and Marine Mammals,1968,
Chicken,1969,10158324000
Pig,1969,518408918
